Product_ID,Category,Daily_Velocity,Speed_Bucket
P0061,Clothing,678.322580645161,🚀 Fast
P0057,Clothing,668.548387096774,🚀 Fast
P0187,Clothing,662.354838709677,🚀 Fast
P0125,Clothing,658.064516129032,🚀 Fast
P0133,Clothing,650.193548387097,🚀 Fast
P0178,Clothing,649.354838709677,🚀 Fast
P0016,Clothing,648.58064516129,🚀 Fast
P0126,Clothing,643.322580645161,⚖️ Average
P0046,Clothing,641.483870967742,⚖️ Average
P0066,Clothing,640.645161290323,⚖️ Average
P0069,Clothing,616.290322580645,⚖️ Average
P0067,Furniture,483.967741935484,⚖️ Average
P0116,Furniture,482.806451612903,⚖️ Average
P0079,Furniture,480.161290322581,⚖️ Average
P0017,Toys,479.225806451613,⚖️ Average
P0129,Furniture,476.967741935484,⚖️ Average
P0083,Toys,476.129032258065,⚖️ Average
P0094,Groceries,475.0,⚖️ Average
P0153,Furniture,471.612903225806,⚖️ Average
P0096,Toys,465.096774193548,⚖️ Average
P0159,Electronics,465.032258064516,⚖️ Average
P0149,Furniture,464.58064516129,⚖️ Average
P0166,Groceries,457.58064516129,🐢 Slow
P0068,Electronics,448.548387096774,🐢 Slow
P0183,Electronics,446.967741935484,🐢 Slow
P0171,Electronics,446.870967741935,🐢 Slow
P0085,Electronics,434.935483870968,🐢 Slow
P0031,Electronics,424.354838709677,🐢 Slow
P0070,Electronics,424.193548387097,🐢 Slow
P0175,Electronics,419.838709677419,🐢 Slow
