Store_ID,Product_ID,Date,Supply_Alert,Occurrences
S001,P0016,2022-01-02,⚠️ Order But No Refill,1838
S002,P0016,2022-01-02,⚠️ Order But No Refill,1838
S003,P0016,2022-01-02,⚠️ Order But No Refill,1838
S004,P0016,2022-01-02,⚠️ Order But No Refill,1838
S005,P0016,2022-01-02,⚠️ Order But No Refill,1838
S001,P0016,2022-01-04,⚠️ Order But No Refill,1838
S004,P0016,2022-01-04,⚠️ Order But No Refill,1838
S005,P0016,2022-01-04,⚠️ Order But No Refill,1838
S002,P0016,2022-01-05,⚠️ Order But No Refill,1838
S004,P0016,2022-01-05,⚠️ Order But No Refill,1838
S001,P0016,2022-01-06,⚠️ Order But No Refill,1838
S002,P0016,2022-01-06,⚠️ Order But No Refill,1838
S003,P0016,2022-01-06,⚠️ Order But No Refill,1838
S005,P0016,2022-01-06,⚠️ Order But No Refill,1838
S005,P0016,2022-01-07,⚠️ Order But No Refill,1838
S002,P0016,2022-01-08,⚠️ Order But No Refill,1838
S003,P0016,2022-01-08,⚠️ Order But No Refill,1838
S004,P0016,2022-01-08,⚠️ Order But No Refill,1838
S005,P0016,2022-01-08,⚠️ Order But No Refill,1838
S001,P0016,2022-01-09,⚠️ Order But No Refill,1838
S003,P0016,2022-01-09,⚠️ Order But No Refill,1838
S001,P0016,2022-01-10,⚠️ Order But No Refill,1838
S005,P0016,2022-01-10,⚠️ Order But No Refill,1838
S002,P0016,2022-01-11,⚠️ Order But No Refill,1838
S003,P0016,2022-01-11,⚠️ Order But No Refill,1838
S005,P0016,2022-01-11,⚠️ Order But No Refill,1838
S001,P0016,2022-01-12,⚠️ Order But No Refill,1838
S002,P0016,2022-01-12,⚠️ Order But No Refill,1838
S003,P0016,2022-01-12,⚠️ Order But No Refill,1838
S004,P0016,2022-01-13,⚠️ Order But No Refill,1838
S005,P0016,2022-01-13,⚠️ Order But No Refill,1838
S005,P0016,2022-01-14,⚠️ Order But No Refill,1838
S003,P0016,2022-01-15,⚠️ Order But No Refill,1838
S001,P0016,2022-01-16,⚠️ Order But No Refill,1838
S002,P0016,2022-01-16,⚠️ Order But No Refill,1838
S003,P0016,2022-01-16,⚠️ Order But No Refill,1838
S004,P0016,2022-01-16,⚠️ Order But No Refill,1838
S004,P0016,2022-01-17,⚠️ Order But No Refill,1838
S005,P0016,2022-01-17,⚠️ Order But No Refill,1838
S001,P0016,2022-01-18,⚠️ Order But No Refill,1838
S002,P0016,2022-01-18,⚠️ Order But No Refill,1838
S003,P0016,2022-01-18,⚠️ Order But No Refill,1838
S004,P0016,2022-01-19,⚠️ Order But No Refill,1838
S001,P0016,2022-01-20,⚠️ Order But No Refill,1838
S005,P0016,2022-01-20,⚠️ Order But No Refill,1838
S002,P0016,2022-01-21,⚠️ Order But No Refill,1838
S003,P0016,2022-01-21,⚠️ Order But No Refill,1838
S004,P0016,2022-01-21,⚠️ Order But No Refill,1838
S005,P0016,2022-01-21,⚠️ Order But No Refill,1838
S001,P0016,2022-01-23,⚠️ Order But No Refill,1838
S003,P0016,2022-01-23,⚠️ Order But No Refill,1838
S004,P0016,2022-01-23,⚠️ Order But No Refill,1838
S002,P0016,2022-01-24,⚠️ Order But No Refill,1838
S005,P0016,2022-01-24,⚠️ Order But No Refill,1838
S001,P0016,2022-01-25,⚠️ Order But No Refill,1838
S003,P0016,2022-01-25,⚠️ Order But No Refill,1838
S004,P0016,2022-01-25,⚠️ Order But No Refill,1838
S005,P0016,2022-01-25,⚠️ Order But No Refill,1838
S001,P0016,2022-01-26,⚠️ Order But No Refill,1838
S002,P0016,2022-01-26,⚠️ Order But No Refill,1838
S005,P0016,2022-01-26,⚠️ Order But No Refill,1838
S002,P0016,2022-01-27,⚠️ Order But No Refill,1838
S003,P0016,2022-01-27,⚠️ Order But No Refill,1838
S004,P0016,2022-01-27,⚠️ Order But No Refill,1838
S001,P0016,2022-01-28,⚠️ Order But No Refill,1838
S004,P0016,2022-01-28,⚠️ Order But No Refill,1838
S005,P0016,2022-01-28,⚠️ Order But No Refill,1838
S001,P0016,2022-01-29,⚠️ Order But No Refill,1838
S002,P0016,2022-01-29,⚠️ Order But No Refill,1838
S003,P0016,2022-01-29,⚠️ Order But No Refill,1838
S005,P0016,2022-01-29,⚠️ Order But No Refill,1838
S001,P0016,2022-01-30,⚠️ Order But No Refill,1838
S004,P0016,2022-01-30,⚠️ Order But No Refill,1838
S002,P0016,2022-01-31,⚠️ Order But No Refill,1838
S005,P0016,2022-01-31,⚠️ Order But No Refill,1838
S003,P0016,2022-02-01,⚠️ Order But No Refill,1838
S002,P0016,2022-02-02,⚠️ Order But No Refill,1838
S003,P0016,2022-02-02,⚠️ Order But No Refill,1838
S004,P0016,2022-02-02,⚠️ Order But No Refill,1838
S005,P0016,2022-02-02,⚠️ Order But No Refill,1838
S001,P0016,2022-02-03,⚠️ Order But No Refill,1838
S003,P0016,2022-02-03,⚠️ Order But No Refill,1838
S004,P0016,2022-02-03,⚠️ Order But No Refill,1838
S005,P0016,2022-02-03,⚠️ Order But No Refill,1838
S001,P0016,2022-02-04,⚠️ Order But No Refill,1838
S002,P0016,2022-02-04,⚠️ Order But No Refill,1838
S003,P0016,2022-02-04,⚠️ Order But No Refill,1838
S001,P0016,2022-02-05,⚠️ Order But No Refill,1838
S002,P0016,2022-02-05,⚠️ Order But No Refill,1838
S005,P0016,2022-02-05,⚠️ Order But No Refill,1838
S004,P0016,2022-02-06,⚠️ Order But No Refill,1838
S005,P0016,2022-02-06,⚠️ Order But No Refill,1838
S002,P0016,2022-02-07,⚠️ Order But No Refill,1838
S003,P0016,2022-02-07,⚠️ Order But No Refill,1838
S001,P0016,2022-02-08,⚠️ Order But No Refill,1838
S003,P0016,2022-02-08,⚠️ Order But No Refill,1838
S004,P0016,2022-02-08,⚠️ Order But No Refill,1838
S002,P0016,2022-02-09,⚠️ Order But No Refill,1838
S004,P0016,2022-02-09,⚠️ Order But No Refill,1838
S005,P0016,2022-02-09,⚠️ Order But No Refill,1838
S001,P0016,2022-02-10,⚠️ Order But No Refill,1838
S002,P0016,2022-02-10,⚠️ Order But No Refill,1838
S005,P0016,2022-02-10,⚠️ Order But No Refill,1838
S002,P0016,2022-02-11,⚠️ Order But No Refill,1838
S003,P0016,2022-02-11,⚠️ Order But No Refill,1838
S001,P0016,2022-02-12,⚠️ Order But No Refill,1838
S002,P0016,2022-02-12,⚠️ Order But No Refill,1838
S003,P0016,2022-02-12,⚠️ Order But No Refill,1838
S004,P0016,2022-02-12,⚠️ Order But No Refill,1838
S005,P0016,2022-02-12,⚠️ Order But No Refill,1838
S001,P0016,2022-02-13,⚠️ Order But No Refill,1838
S003,P0016,2022-02-13,⚠️ Order But No Refill,1838
S004,P0016,2022-02-13,⚠️ Order But No Refill,1838
S001,P0016,2022-02-14,⚠️ Order But No Refill,1838
S002,P0016,2022-02-14,⚠️ Order But No Refill,1838
S005,P0016,2022-02-14,⚠️ Order But No Refill,1838
S001,P0016,2022-02-15,⚠️ Order But No Refill,1838
S002,P0016,2022-02-15,⚠️ Order But No Refill,1838
S003,P0016,2022-02-15,⚠️ Order But No Refill,1838
S003,P0016,2022-02-16,⚠️ Order But No Refill,1838
S004,P0016,2022-02-16,⚠️ Order But No Refill,1838
S005,P0016,2022-02-17,⚠️ Order But No Refill,1838
S001,P0016,2022-02-18,⚠️ Order But No Refill,1838
S002,P0016,2022-02-18,⚠️ Order But No Refill,1838
S003,P0016,2022-02-18,⚠️ Order But No Refill,1838
S004,P0016,2022-02-18,⚠️ Order But No Refill,1838
S005,P0016,2022-02-18,⚠️ Order But No Refill,1838
S001,P0016,2022-02-19,⚠️ Order But No Refill,1838
S003,P0016,2022-02-19,⚠️ Order But No Refill,1838
S002,P0016,2022-02-20,⚠️ Order But No Refill,1838
